,H,F(H)
0,4.775006992733141,128.00541882141476
1,4.934173892490913,127.84481449124657
2,5.093340792248684,127.75597946691165
3,5.252507692006455,127.73145795572488
4,5.411674591764227,127.76471223492761
5,5.570841491521998,127.84998858772815
6,5.730008391279769,127.98220586527869
7,5.889175291037541,128.15686235984217
8,6.048342190795312,128.36995758769743
9,6.207509090553083,128.61792628204714
10,6.3666759903108545,128.89758243937845
11,6.525842890068626,129.20607168616252
12,6.685009789826397,129.5408305650738
13,6.8441766895841685,129.89955160232324
14,7.00334358934194,130.28015322617503
15,7.162510489099711,130.6807537732814
16,7.321677388857482,131.09964895327028
17,7.480844288615254,131.53529225005715
18,7.640011188373025,131.986277826012
19,7.799178088130796,132.45132556657617
20,7.958344987888568,132.9292679614391
21,8.117511887646339,133.41903856651098
22,8.27667878740411,133.9196618306625
23,8.435845687161882,134.430244104147
24,8.595012586919653,134.94996567303002
25,8.754179486677424,135.47807368684553
26,8.913346386435196,136.01387586588024
27,9.072513286192967,136.55673489062042
28,9.231680185950738,137.10606338949938
29,9.39084708570851,137.6613194526003
30,9.55001398546628,138.2220026087373
