,H,F(H)
0,4.775006992733141,127.9497593863148
1,4.934173892490913,127.79006014793102
2,5.093340792248684,127.70208745061129
3,5.252507692006455,127.67838876661853
4,5.411674591764227,127.7124292994961
5,5.570841491521998,127.79845796397062
6,5.730008391279769,127.9313959850416
7,5.889175291037541,128.10674380270567
8,6.048342190795312,128.32050288182018
9,6.207509090553083,128.56910972814262
10,6.3666759903108545,128.8493799546216
11,6.525842890068626,129.15846066533612
12,6.685009789826397,129.4937897566833
13,6.8441766895841685,129.8530609977537
14,7.00334358934194,130.23419396025068
15,7.162510489099711,130.6353080348259
16,7.321677388857482,131.05469990446537
17,7.480844288615254,131.49082395356442
18,7.640011188373025,131.94227517896348
19,7.799178088130796,132.40777424065868
20,7.958344987888568,132.88615434839883
21,8.117511887646339,133.37634972849028
22,8.27667878740411,133.87738545485595
23,8.435845687161882,134.38836846132583
24,8.595012586919653,134.90847957953912
25,8.754179486677424,135.43696646972438
26,8.913346386435196,135.9731373307995
27,9.072513286192967,136.51635529236088
28,9.231680185950738,137.06603340473163
29,9.39084708570851,137.62163015474954
30,9.55001398546628,138.1826454447411
