,H,F(H)
0,4.775006992733141,127.94287423850082
1,4.934173892490913,127.78328696120163
2,5.093340792248684,127.69542093490637
3,5.252507692006455,127.67182403575647
4,5.411674591764227,127.70596182928287
5,5.570841491521998,127.79208355573454
6,5.730008391279769,127.92511073375915
7,5.889175291037541,128.10054406903092
8,6.048342190795312,128.31438526744896
9,6.207509090553083,128.56307105403826
10,6.3666759903108545,128.84341724170588
11,6.525842890068626,129.15257111731296
12,6.685009789826397,129.4879707447139
13,6.8441766895841685,129.84731004674515
14,7.00334358934194,130.22850873655514
15,7.162510489099711,130.62968633517661
16,7.321677388857482,131.04913964600132
17,7.480844288615254,131.48532316481516
18,7.640011188373025,131.93683199168368
19,7.799178088130796,132.40238688241658
20,7.958344987888568,132.88082113583488
21,8.117511887646339,133.37106906117393
22,8.27667878740411,133.87215580967643
23,8.435845687161882,134.3831883873615
24,8.595012586919653,134.90334769335672
25,8.754179486677424,135.43188145106416
26,8.913346386435196,135.9680979186091
27,9.072513286192967,136.5113602811433
28,9.231680185950738,137.06108164117848
29,9.39084708570851,137.6167205346313
30,9.55001398546628,138.17777691003238
